Algo_1,Algo_2,Algo_3,Algo_4,M,N,notes
0.22929883,1.035130501,0.320493698,0.303478718,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.442691088,0.381716013,0.388324261,0.475641727,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.290102482,0.617978573,0.406899691,0.33934927,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.25357914,0.466104031,0.377306938,0.318265915,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.375507116,0.772314072,0.452147722,0.358873844,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.446419001,0.687950134,0.487536907,0.443371773,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.254999876,0.682303667,0.422115803,0.328987122,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.450451851,0.449904203,0.547998905,0.419540167,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.257453918,0.84692502,0.356391668,0.376617432,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.446091413,0.261978149,0.479004145,0.413177013,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.620460749,0.53257823,0.572119713,0.588028431,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.461386919,0.590787411,0.486996412,0.418552399,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.224405527,0.659537792,0.403418541,0.374932528,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.224893093,0.576362848,0.323208332,0.341573954,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.67291522,0.45357728,0.595611572,0.581136465,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.727728128,0.376991034,0.722876072,0.559496641,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.673740625,0.347972393,0.590804338,0.701160908,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.583593607,0.901754141,0.556698322,0.544968128,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.503047705,0.425330639,0.51802659,0.554780245,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.443250656,0.842765331,0.547403097,0.49619031,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.400565147,0.577249765,0.50509572,0.362399817,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.229859591,0.735588074,0.342592716,0.456204653,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.643389225,0.855295897,0.564621687,0.499905348,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.657139301,1.128125906,0.597373724,0.480667114,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.686626434,0.77311182,0.583853722,0.624717236,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.44760108,0.513587236,0.467557669,0.552510023,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.474450111,1.225781918,0.645894051,0.445570946,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.719684601,0.519623995,0.647855282,0.574278116,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.241022825,0.970342636,0.39758563,0.404566526,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.25754118,0.736054897,0.407357454,0.416372538,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.280930996,0.483167171,0.42159605,0.508968592,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.487158537,0.290346622,0.498578548,0.477940559,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.474098682,0.523468018,0.469301462,0.456047058,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
